,magnitude,jumlahinf,kluster
1261,5.7,58,0
1262,5.4,56,0
1263,4.7,0,1
1264,5.0,2,1
1265,4.5,48,1
1266,5.9,107,0
1267,4.7,0,1
1268,4.5,1,1
1269,4.7,53,0
1270,5.0,69,0
1271,4.6,1,1
1272,4.7,64,0
1273,6.3,19,1
1274,5.9,156,0
1275,4.5,17,1
1276,4.8,0,1
1277,5.2,0,1
1278,5.3,143,0
1279,4.9,16,1
1280,4.5,46,1
1281,4.9,11,1
1282,4.9,49,1
1283,4.7,13,1
1284,4.5,3,1
1285,4.8,0,1
1286,4.7,31,1
1287,4.9,19,1
1288,4.9,0,1
1289,4.9,1,1
1290,4.5,0,1
1291,4.6,6,1
1292,4.9,6,1
1293,5.0,9,1
1294,4.9,1,1
1295,4.5,28,1
1296,5.0,9,1
1297,4.8,0,1
1298,5.2,0,1
1299,4.5,0,1
1300,4.6,0,1
1301,5.5,53,0
1302,4.5,0,1
1303,4.7,93,0
1304,4.9,0,1
1305,6.9,214,2
1306,4.5,0,1
1307,4.6,0,1
1308,4.8,11,1
1309,4.9,37,1
1310,4.8,0,1
1311,4.6,0,1
1312,5.0,0,1
1313,6.9,405,2
1314,6.8,309,2
1315,4.9,51,0
1316,4.7,0,1
1317,5.2,0,1
1318,5.2,76,0
1319,4.9,4,1
1320,5.0,4,1
1321,5.1,39,1
1322,4.5,0,1
1323,5.1,15,1
1324,4.6,0,1
1325,4.5,0,1
1326,4.6,0,1
1327,4.6,10,1
1328,5.0,23,1
1329,4.6,1,1
1330,4.6,8,1
1331,4.9,126,0
1332,5.0,23,1
1333,4.5,8,1
1334,4.8,11,1
1335,5.3,39,1
1336,4.7,8,1
1337,4.5,7,1
1338,5.1,50,1
1339,4.9,11,1
1340,5.1,26,1
1341,4.6,64,0
1342,4.5,10,1
1343,4.6,0,1
1344,4.9,0,1
1345,5.3,61,0
1346,4.8,20,1
1347,4.6,12,1
1348,4.6,44,1
1349,4.5,19,1
1350,5.1,21,1
1351,5.1,128,0
1352,4.6,0,1
1353,4.8,1,1
